0,779,276,26,60
0,680,261,35,52
0,657,348,40,53
0,717,275,28,59
0,858,255,23,66
0,757,349,34,56
0,984,262,33,52
0,913,284,28,53
0,822,259,25,65
0,753,275,31,63
0,722,345,35,61
0,1695,23,66,37
0,853,344,37,67
0,956,335,32,64
0,652,267,30,77
0,523,511,29,65
0,1020,261,30,59
0,577,350,36,51
0,945,254,32,61
0,491,519,40,53
0,552,277,29,59
0,990,332,35,60
0,1026,740,41,71
0,880,264,31,55
0,1693,70,59,34
0,1021,334,28,59
0,488,350,31,67
0,758,499,38,52
0,786,346,26,56
0,515,356,33,77
0,684,344,29,58
0,444,267,37,66
0,893,359,23,51
0,1806,757,36,64
0,546,349,34,62
0,822,356,30,62
0,454,506,36,64
0,967,741,33,60
0,593,499,36,60
0,650,503,62,78
0,928,509,31,60
0,555,513,41,58
0,720,513,36,63
0,520,265,24,58
0,617,345,32,51
0,1804,24,35,61
0,892,510,48,55
0,945,505,40,50
0,1683,9,59,33
0,529,589,31,66
0,1071,732,28,58
0,451,350,28,72
0,1053,335,37,61
0,691,508,42,70
0,1025,506,33,56
0,863,502,38,67
0,790,501,33,76
0,999,504,33,65
0,1803,675,34,58
0,493,585,29,56
0,1797,590,38,57
0,456,581,27,75
0,621,501,38,81
0,1071,822,28,55
1,1262,337,32,87
0,1811,193,36,64
0,1804,358,35,57
0,1799,515,40,69
3,408,160,16,25
3,431,162,14,31
3,444,163,13,23
3,582,158,16,24
3,607,163,10,23
3,623,165,15,21
3,647,156,15,26
3,1237,147,13,21
3,1269,151,12,23
3,1282,145,14,32
3,1294,145,8,27
